Tweet,clean_text,sentiment_polarity,sentiment_subjectivity,sentiment
Best part of Eid is all these Old Northside gangsters telling old stories,best part of eid is all these old northside gangsters telling old stories,0.4000000000000001,0.2333333333333333,positive
Shame on you,shame on you,0.0,0.0,negative
I was one of the people fighting Corona. My research along with others.,i was one of the people fighting corona my research along with others,0.0,0.0,negative
"Great round 2 from Adrian Corona and Jerry Perez. Dudes were slugging the last 30 seconds. 

#FundoraMendoza",great round  from adrian corona and jerry perez dudes were slugging the last  seconds fundoramendoza,0.20000000000000004,0.4055555555555555,positive
Drinking a Corona Extra by @GrupoModelo_MX @ Untappd at Home — https://t.co/YLlxwbbxbt,drinking a corona extra by   untappd at home  ,0.0,0.1,negative
Three #Corona #CocoYLima https://t.co/wY6l5S4tHG,three corona cocoylima ,0.0,0.0,negative
"""Corona ist mild"".",corona ist mild,0.3333333333333333,0.5,positive
"Fight ✌️ begins NOW!

Adrián Corona takes on Jerry Pérez in super featherweight action over on YouTube 👉 https://t.co/vnMJljmAIT

#CoronaPerez | #FundoraMendoza| @lthomasnews https://t.co/VPKf8GKWp3",fight  begins nowadrián corona takes on jerry pérez in super featherweight action over on youtube  coronaperez  fundoramendoza  ,0.21666666666666667,0.3833333333333333,positive
"Corona cases: Kerala records 1,801 new cases of Covid-19, govt says masks mandatory for these people https://t.co/cZkqqYtSLb",corona cases kerala records  new cases of covid govt says masks mandatory for these people ,0.13636363636363635,0.45454545454545453,negative
"Drinking corona with lime, wine coolers &amp; shots of Tito’s 🩷🩵",drinking corona with lime wine coolers amp shots of titos ,0.0,0.0,negative
Did I just see Tatum in a Corona commercial? LMFAO this dude a star.,did i just see tatum in a corona commercial lmfao this dude a star,0.0,0.0,negative
"Let's us help you build your professional business advanced website from R3,500 once-off ""Black Lives Matter"" ""Twitter Files"" Corona Viagra ""Dr Nandipha"" https://t.co/35coIf4Dqf",lets us help you build your professional business advanced website from r onceoff black lives matter twitter files corona viagra dr nandipha ,0.11111111111111112,0.37777777777777777,negative
the endings always make whatever happened before it feel not as serious as it should've been,the endings always make whatever happened before it feel not as serious as it shouldve been,-0.3333333333333333,0.6666666666666666,negative
When they say “do whatever makes you happy” you know they’re over it 😂😂,when they say do whatever makes you happy you know theyre over it ,0.8,1.0,positive
"HABITATSLOT AGEN JUDI SLOT TERBESAR DI INDONESIA.
LINK: https://t.co/OO8maCNxDJ
Valverde La Liga taylor I AM MV TEASER OUT NOW Donnarumma #Beef Madrid Caitlyn Jenner Kokas KIM SEUNGMIN Tchouameni Sarri Corona Kkuma Love Me Right #DOJAEJUNG_Passion The Eve https://t.co/lOb99VStI4",habitatslot agen judi slot terbesar di indonesialink valverde la liga taylor i am mv teaser out now donnarumma beef madrid caitlyn jenner kokas kim seungmin tchouameni sarri corona kkuma love me right dojaejungpassion the eve ,0.39285714285714285,0.5678571428571428,positive
"Let's us help you build your professional business Mobile App from R25,500 and get advanced web design from R3,500 once-off ""Black Lives Matter"" ""Twitter Files"" Corona Viagra ""Dr Nandipha"" https://t.co/53z0sb8YeE",lets us help you build your professional business mobile app from r and get advanced web design from r onceoff black lives matter twitter files corona viagra dr nandipha ,0.11111111111111112,0.37777777777777777,negative
"HABITATSLOT AGEN JUDI SLOT TERBESAR DI INDONESIA.
LINK: https://t.co/OO8maCNxDJ
Valverde La Liga taylor I AM MV TEASER OUT NOW Donnarumma #Beef Madrid Caitlyn Jenner Kokas KIM SEUNGMIN Tchouameni Sarri Corona Kkuma Love Me Right #DOJAEJUNG_Passion The Eve https://t.co/xR6FGN52oy",habitatslot agen judi slot terbesar di indonesialink valverde la liga taylor i am mv teaser out now donnarumma beef madrid caitlyn jenner kokas kim seungmin tchouameni sarri corona kkuma love me right dojaejungpassion the eve ,0.39285714285714285,0.5678571428571428,positive
"We are going live!!! Be a part of the DeathCoronaNerd experiment. Cheers!!! Stay Safe!!! Fight the Corona!!!

#mtg #drinkinggame

https://t.co/ZTCwYdNCWL",we are going live be a part of the deathcoronanerd experiment cheers stay safe fight the coronamtg drinkinggame,0.3181818181818182,0.5,positive
Modern family is funny af,modern family is funny af,0.225,0.65,positive
ANTIQUE SAINT CORONA LADYBUG STERLING SILVER ENAMEL CHARM MEDAL PATRON PANDEMICS https://t.co/pbNMDx0Kzi eBay https://t.co/4r9VUdzQmW,antique saint corona ladybug sterling silver enamel charm medal patron pandemics  ebay ,0.0,0.0,negative
How you cook dinner then say “I ain’t expect that shit to hit like that” 😂,how you cook dinner then say i aint expect that shit to hit like that ,-0.2,0.8,negative
"❤️‍🔥Cinco De Mayo Party at Jiggles!❤️‍🔥
DRINK &amp; DANCE SPECIALS all night!
$3 Corona, $3 Modelo, and $3 Dos Equis.
$5 Patron Silver, $15 Don Julio 1942.
.
.
.
#CincodeMayo #Cervesa #Tequila #Patron #DonJulio #Corona #Modelo #DosEquis #Jiggles #Indy #StripJoint https://t.co/NgD90Bpk1B",cinco de mayo party at jigglesdrink amp dance specials all night corona  modelo and  dos equis patron silver  don julio cincodemayo cervesa tequila patron donjulio corona modelo dosequis jiggles indy stripjoint ,0.0,0.0,negative
Kerala turn as fertile land for Corona,kerala turn as fertile land for corona,0.0,0.0,negative
This is how a team rebounds from a 10-game losing streak in conference play: UA outscored Washington 25-5 in wins yesterday and today to clinch the series win at Hi Corbett. Starter Aiden May &amp; DH Emilio Corona two of many standouts for Chip Hale today:  https://t.co/eVaMpjNm5U,this is how a team rebounds from a game losing streak in conference play ua outscored washington  in wins yesterday and today to clinch the series win at hi corbett starter aiden may amp dh emilio corona two of many standouts for chip hale today  ,0.3,0.375,positive
FRM MENTEE(did 8 HC deals):snr mgr+all nurses r holding the line.We've other head nurses/managers who seem bit lost+battle-worn from corona times+we've to help 2 keep a clear head-Its definitely an interesting time+a great lesson in leadership(DSP:KID IN TRENCHES MAKES ME PROUD),frm menteedid  hc dealssnr mgrall nurses r holding the lineweve other head nursesmanagers who seem bit lostbattleworn from corona timesweve to help  keep a clear headits definitely an interesting timea great lesson in leadershipdspkid in trenches makes me proud,0.41500000000000004,0.6016666666666667,positive
