,Tweet,Processed_Tweets,Polarity,Sentiment
0,"경주리모델링 
https://t.co/SBZlOWDzhI",경주리모델,0.0,Neutral
1,"計算時間が短かいから多人数で使えないと
稼働率が低くなるのだろうなぁ。

ビット組合わせを一度に計算できるけど結果として取れるのは１つとか、検算が必須とか…当面過渡期か。

理研ら、国産初の超伝導量子コンピュータ。外部から使えるクラウドサービスも  - PC Watch https://t.co/GgR80lYUax",計算時間が短かいから多人数で使えないと稼働率が低くなるのだろうなぁ。ビット組合わせを一度に計算できるけど結果として取れるのはつとか、検算が必須とか…当面過渡期か。理研ら、国産初の超伝導量子コンピュータ。外部から使えるクラウドサービスpcwatch,0.0,Neutral
2,@scubaboybop1110 STYLYさんのHPを参考に、iPhoneの動画を3DF ZephyrというPCソフトで処理しています。https://t.co/38lvSUlb2I,stylyさんのhpを参考に、iphoneの動画をdfzephyrというpcソフトで処理しています。,0.0,Neutral
3,fyi jg aku cuma pake data internet (tsel) dan cuma pake app dr hp. krn menurutku pake wifi tuh lebih lemot🙃 dan pake hp jg jadi lebih sat set sat set buat ngeklik ini itu ketimbang pc karena aku tau aku bakal tremor parah jd cari aman aja https://t.co/0FiqhshKBr,fyijgakucumapakedatainternettseldancumapakeappdrhpkrnmenurutkupakewifituhlebihlemotdanpakehpjgjadilebihsatsetsatsetbuatngeklikiniituketimbangpckarenaakutauakubakaltremorparahjdcariamanaja,0.0,Neutral
4,"ノートPCのキーボードとタッチパッドが壊れて使えなくなったので、VAIOからHPへ買い換えました。予期せぬ出費💦

おつかれー！🍻 https://t.co/tEuFgBhxKc",ノートpcのキーボードとタッチパッドが壊れて使えなくなったので、vaioからhpへ買い換えました。予期せぬ出費💦おつかれー！,0.0,Neutral
5,BMW M3 xDrive With 600 HP Delivers Furious Acceleration On ... - BMWBLOG https://t.co/9a0UNdPMOM https://t.co/7J28QxkML6,bmwmxdrivewithhpdeliversfuriousaccelerationonbmwblog,0.0,Neutral
6,"경주철거
https://t.co/bA8c4sFDrk",경주철거,0.0,Neutral
7,"「セーラー服」がトレンドになっているので古(いにしえ)のPCユーザーが真っ先に思い浮かべるであろうセーラー服を貼り付けます(^o^)

…見た目とは裏腹に極悪非道の難易度のゲームでした😅

#PC9801
#PC8801
#FM7
#X1
#MSX
#PCengine
#夢幻戦士ヴァリス
#ヴァリス
#日本テレネット
#セーラー服
#ゲーム https://t.co/56Jf3DmQkb",「セーラー服」がトレンドになっているので古いにしえのpcユーザーが真っ先に思い浮かべるであろうセーラー服を貼り付けますo…見た目とは裏腹に極悪非道の難易度のゲームでした😅,0.0,Neutral
8,@mylittleagust ka kmu war make hp atau pc?,kakmuwarmakehpataupc,0.0,Neutral
9,"A take-anywhere door lock, silicone spikes that keep your shower clean, and a chunk of etched glass that smooths your feet.",atakeanywheredoorlocksiliconespikesthatkeepyourshowercleanandachunkofetchedglassthatsmoothsyourfeet,0.0,Neutral
